Filing Date,Trade Date,Action Date,performance_check_month,performance_check_2_weeks,classification_check_month,classification_check_2_weeks,filing_check_month,Filing Quarter,Difference btw. filing and trade date,Ticker,Title,Delta own,Value,Title Conv.,Delta Own Conv.,Sector,One Month Prior Performance,2-Week Prior Performance,One Month Prior Market Performance,2-Week Prior Index Performance,One Month Prior Volatility Change,2-Week Prior Volatility Change,Number of Recent Transactions,Days Since Last Recent Transaction,Trade Day of Week,Filing Day of Week,Return if exited at the 75th percentile midpoint of daily price action,Return if exited at the 75th percentile open of daily price action,Days to midpoint exit,Days to open exit
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,2.72,GHL,"COB, CEO, 10%",5%,1064466,0.0,0.05,Financial Services,0.12484389853501959,0.06375438089134391,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,1,77,2,2,-0.06695000314084999,-0.06057380885977768,5.0,3.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,1.71,EHAB,"Pres, CEO",14%,413400,0.0,0.14,Healthcare,-0.23337088179609883,-0.2502755877031316,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,0,-1,2,2,0.11677279583628361,0.13305025472148088,13.0,19.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,2.7,AAT,"COB, CEO, 10%",0%,891000,0.0,0.0,Real Estate,0.05820477797731405,0.00667114690319103,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,8,5,2,2,-0.012664450863077553,-0.011842029819699538,4.0,6.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,0.69,UNVR,"EVP, CFO",6%,654665,1.0,0.06,Basic Materials,0.12745943355659428,0.0038080876084586627,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,0,-1,2,2,-0.013847858236946372,-0.014032465355878645,2.0,5.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,1.69,RKT,CEO,1%,399771,0.0,0.01,Financial Services,0.19885711669921874,0.07259714289698377,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,23,2,2,2,0.007211034640055358,0.0,2.0,0.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,1.69,NILE,"Exec COB, 10%",4%,399960,3.0,0.04,Industrials,0.09375000582076622,0.12903223015391266,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,9,15,2,2,-0.08333337472544612,-0.05555558315029741,4.0,4.0
2022-08-08,2022-08-08,2022-08-09,2022-07-12,2022-07-26,2022-09-07,2022-08-23,2022-05-12,3,4.75,BSM,"CEO, COB",0%,744172,0.0,0.0,Energy,0.09612517642536579,-0.01933329484227449,0.07022943368970172,0.04281326245311918,-0.09102297435201516,-0.09102297435201516,0,-1,0,0,0.09433408577234467,0.1049493385963255,9.0,15.0
2022-08-08,2022-08-08,2022-08-09,2022-07-12,2022-07-26,2022-09-07,2022-08-23,2022-05-12,3,4.72,RKT,CEO,2%,598005,0.0,0.02,Financial Services,0.12631577773254177,0.024468138855797742,0.07022943368970172,0.04281326245311918,-0.09102297435201516,-0.09102297435201516,23,5,0,0,0.13392468659750237,0.1258064572363729,4.0,2.0
2022-08-08,2022-08-08,2022-08-09,2022-07-12,2022-07-26,2022-09-07,2022-08-23,2022-05-12,3,3.69,PSN,CFO,25%,2905000,1.0,0.25,Industrials,0.02992399330402276,-0.004268354239841254,0.07022943368970172,0.04281326245311918,-0.09102297435201516,-0.09102297435201516,0,-1,0,0,-0.005348826563635538,-0.006279080413108648,7.0,13.0
2022-08-08,2022-08-08,2022-08-09,2022-07-12,2022-07-26,2022-09-07,2022-08-23,2022-05-12,3,0.68,GCI,CEO,37%,1220000,0.0,0.37,Communication Services,-0.048192820689983366,-0.17993086521439233,0.07022943368970172,0.04281326245311918,-0.09102297435201516,-0.09102297435201516,0,-1,0,0,-0.024000024795532225,-0.02799997329711914,0.0,6.0
